,id,title,tags,poster_path,genres,vote_average
0,862,Toy Story,"['animation', 'comedy', 'family'] ['tom hanks', 'tim allen', 'don rickles'] ['john lasseter'] jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,"['Animation', 'Comedy', 'Family']",7.7
1,8844,Jumanji,"['adventure', 'fantasy', 'family'] ['robin williams', 'jonathan hyde', 'kirsten dunst'] ['joe johnston'] boardgame disappearance basedonchildren'sbook newhome recluse giantinsect",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,"['Adventure', 'Fantasy', 'Family']",6.9
2,15602,Grumpier Old Men,"['romance', 'comedy'] ['walter matthau', 'jack lemmon', 'ann-margret'] ['howard deutch'] fishing bestfriend duringcreditsstinger oldmen",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,"['Romance', 'Comedy']",6.5
3,11862,Father of the Bride Part II,"['comedy'] ['steve martin', 'diane keaton', 'martin short'] ['charles shyer'] baby midlifecrisis confidence aging daughter motherdaughterrelationship pregnancy contraception gynecologist",/e64sOI48hQXyru7naBFyssKFxVd.jpg,['Comedy'],5.7
4,949,Heat,"['action', 'crime', 'drama', 'thriller'] ['al pacino', 'robert de niro', 'val kilmer'] ['michael mann'] robbery detective bank obsession chase shooting thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic",/zMyfPUelumio3tiDKPffaUpsQTD.jpg,"['Action', 'Crime', 'Drama', 'Thriller']",7.7
5,11860,Sabrina,"['comedy', 'romance'] ['harrison ford', 'julia ormond', 'greg kinnear'] ['sydney pollack'] paris brotherbrotherrelationship chauffeur longisland fusion millionaire",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,"['Comedy', 'Romance']",6.2
6,9091,Sudden Death,"['action', 'adventure', 'thriller'] ['jean-claude van damme', 'powers boothe', 'dorian harewood'] ['peter hyams'] terrorist hostage explosive vicepresident",/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,"['Action', 'Adventure', 'Thriller']",5.5
7,710,GoldenEye,"['adventure', 'action', 'thriller'] ['pierce brosnan', 'sean bean', 'izabella scorupco'] ['martin campbell'] cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy",/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,"['Adventure', 'Action', 'Thriller']",6.6
8,9087,The American President,"['comedy', 'drama', 'romance'] ['michael douglas', 'annette bening', 'michael j. fox'] ['rob reiner'] whitehouse usapresident newlove widower wildlifeconservation",/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"['Comedy', 'Drama', 'Romance']",6.5
9,12110,Dracula: Dead and Loving It,"['comedy', 'horror'] ['leslie nielsen', 'mel brooks', 'amy yasbeck'] ['mel brooks'] dracula spoof",/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,"['Comedy', 'Horror']",5.7
